training_loss;validation_loss;validation_accuracy;epoch_time
1.212875;1.477675;0.765500;5.287755
1.273160;1.467788;0.766500;5.087836
1.287947;1.458232;0.766500;5.072585
1.232002;1.448009;0.766500;5.075262
1.255932;1.436481;0.766500;5.121661
1.159262;1.425990;0.765500;5.080517
1.311832;1.414393;0.765500;5.074244
1.142141;1.404858;0.766500;5.074185
1.217051;1.394771;0.768500;5.234794
1.089295;1.384424;0.767500;5.043127
1.160298;1.374839;0.768000;5.074221
1.186383;1.364570;0.768000;5.070789
1.184063;1.354590;0.767500;5.070950
1.109159;1.345624;0.767500;5.070218
1.126429;1.335593;0.766000;5.209346
1.103660;1.325482;0.767000;5.071874
1.085034;1.315536;0.767000;5.069569
1.185135;1.304625;0.766000;5.069936
1.080249;1.295688;0.765500;5.071305
0.995315;1.285204;0.766500;5.082523
1.080316;1.276899;0.765500;5.069859
1.042598;1.265971;0.764500;5.073639
1.163495;1.256284;0.766000;5.231497
1.080969;1.245873;0.765500;4.997583
0.988308;1.235466;0.765000;5.071985
0.953327;1.226611;0.764000;5.074194
0.927277;1.216032;0.763000;5.072039
0.976720;1.206894;0.762500;5.126850
0.980520;1.196468;0.763000;5.216575
0.950431;1.186091;0.762500;5.034811
1.047524;1.175048;0.762500;5.070830
0.887775;1.166899;0.763500;5.071439
0.894315;1.156187;0.764000;5.071389
0.910418;1.147145;0.763500;5.074130
0.898309;1.137399;0.764000;5.071716
0.911671;1.126896;0.764000;5.070117
0.842260;1.118025;0.763500;5.073283
0.796967;1.108359;0.763500;5.072433
0.767314;1.098869;0.763000;5.070452
0.826439;1.089267;0.763500;5.005858
0.878214;1.078479;0.763000;4.984918
0.786605;1.068574;0.763000;5.025439
0.867135;1.057845;0.763000;5.264710
0.709592;1.049204;0.762500;5.057523
0.742753;1.040377;0.763000;5.259986
0.733437;1.029539;0.763500;5.034290
0.727075;1.021403;0.762500;5.071484
0.711743;1.012322;0.761500;5.072173
0.674781;1.002008;0.761000;5.069569
0.671411;0.993633;0.761500;5.071351
